Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
6,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,81,85,0,2,2,0,0,0,6.50380940808395E-05,3.25190470404197E-05,1.93351999344681E-05,0.167784258730082,0.8,12.24,0,80.98,88.83,0
14,4,3,0.5,0.01,1,10,1,8,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,79,83,0,2,2,0,0,0,3.36033770418357E-05,1.68016885209179E-05,1.04314573509788E-05,0.170505929103103,0.8,11.88,0,71.45,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,89,93,0,2,2,0,0,0,4.82743496172479E-05,2.41371748086239E-05,1.59861352388466E-05,0.165292854393281,0.8,13.11,0,74.68,90.48,0
14,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,3,6,0,4,4,0,0,0,6.49175384674662E-05,3.24587692337331E-05,1.96455708783868E-05,0.165881049929273,0.8,15,0,124.97,85.83,0
11,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,239,240,0,8,8,0,0,0,5.52456639130985E-05,2.76228319565493E-05,1.87250311540439E-05,0.167188166134191,0.4,6.72,0,129.49,90.48,0
15,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.54904354761154E-05,2.77452177380577E-05,1.79225255219498E-05,0.166542485607444,1,14.54,0,57.98,89.96,1
5,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,85,168,80,4,4,0,80,80,6.61807133437409E-05,3.30903566718705E-05,2.37228255851492E-05,0.173393326030235,0.8,13.39,0,120,84.51,0
14,4,3,0.5,0.01,1,10,1,3,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,317,318,0,8,8,0,0,0,4.20124383659449E-05,2.10062191829725E-05,1.34404634324814E-05,0.171856878831802,0.2,4.83,0,121.74,90.48,0
11,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,318,319,0,8,8,0,0,0,5.7824506141363E-05,2.89122530706815E-05,1.78312541228054E-05,0.168939532845653,0.4,8.21,0,149.54,84.68,0
13,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,3,8,0,0,0,0,0,0,3.89181255330536E-05,1.94590627665268E-05,1.17597949363412E-05,0.169258993757444,1,14.7,0,103.73,80.69,1
15,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,237,318,80,8,8,0,80,80,4.56999858720916E-05,2.28499929360458E-05,1.37084395846061E-05,0.174317265852026,0.4,8.08,0,148.15,85.34,0
7,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,239,320,80,8,8,0,80,80,5.34926052194156E-05,2.67463026097078E-05,1.61670625955676E-05,0.170639488169036,0.4,6.99,0,128.22,88.83,0
7,4,3,0.5,0.01,1,10,1,6,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,5.68702122418406E-05,2.84351061209203E-05,1.93711041952308E-05,0.17100197734946,0.8,12.44,0,70.61,90.99,0
9,4,3,0.5,0.01,1,10,1,7,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,4.5745522625149E-05,2.28727613125745E-05,1.50980481748732E-05,0.170732967526132,1,14.45,0,94.85,82.87,1
5,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,161,243,80,6,6,0,80,80,4.65117886401418E-05,2.32558943200709E-05,1.42971925789926E-05,0.170799098838807,0.6,10.51,0,129,85.86,0
