Path,ACE,Ql,Qu
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'Occdist_scale']",28.06835692962809,34.38525126921949,17.66003700774475
"['Mission_success', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",28.06835692962809,37.236879815776746,13.310515008649686
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'DWA_failed', 'Occdist_scale']",28.06835692962809,31.556589262269586,19.939871426632525
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'Occdist_scale']",28.06835692962809,32.720565733388696,18.61930734400913
"['Mission_success', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",28.06835692962809,37.463704061001245,15.573775745488383
"['Mission_success', 'RNS', 'recovery_executed', 'DWA_new_plan', 'Occdist_scale']",28.06835692962809,34.98499637382421,16.851099966036454
"['Mission_success', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",28.06835692962809,38.20942519824345,27.72099199483301
"['Mission_success', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'Occdist_scale']",28.06835692962809,25.74673936858347,13.27479896596266
"['Mission_success', 'RNS', 'recovery_executed', 'Occdist_scale']",28.06835692962809,48.6661323008009,15.992898434952318
"['Mission_success', 'DWA_failed', 'Occdist_scale']",28.06835692962809,45.0929448385013,23.133167337865213
"['Mission_success', 'RNS', 'DWA_failed', 'Occdist_scale']",28.06835692962809,34.97822855897543,20.26776399445729
"['Battery_percentage', 'Goal_distance_bias']",14.90804462271072,13.683558755983288,23.48897416663845
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Goal_distance_bias']",14.90804462271072,12.881768502398605,17.22670471483152
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'Goal_distance_bias']",14.90804462271072,14.40678281132622,21.614965351404614
"['Battery_percentage', 'Mission_time', 'Goal_distance_bias']",14.90804462271072,8.57097762874718,17.174640947314096
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'Goal_distance_bias']",14.90804462271072,6.323780871836663,16.63264685455458
"['Battery_percentage', 'Traveled_distance', 'Goal_distance_bias']",14.90804462271072,8.360457400710981,22.883464999853977
"['Battery_percentage', 'RNS', 'recovery_executed', 'Goal_distance_bias']",14.90804462271072,5.0528221983602775,20.324176226496228
"['Battery_percentage', 'Mission_time', 'recovery_executed', 'Goal_distance_bias']",14.90804462271072,10.598650893811485,22.63927161764305
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'yaw_goal_tolerance']",10.949711962799569,59.70628545163646,21.381472853373886
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,23.795669027968025,4.496383840608472
"['Battery_percentage', 'Traveled_distance', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,39.83410331751802,5.078095525292183
"['Battery_percentage', 'RNS', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,36.99522817290417,9.001841761098811
"['Battery_percentage', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,24.488969305908398,38.02810849921809
"['Battery_percentage', 'Mission_time', 'yaw_goal_tolerance']",10.949711962799569,34.77322142983452,12.378472876436787
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,42.694965791827435,3.067079919085062
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,38.840568591318565,14.22840213163125
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,35.03091313801481,15.30253675513884
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'yaw_goal_tolerance']",10.949711962799569,32.059580323196734,33.29531986509421
"['Battery_percentage', 'Error_rotating_goal', 'yaw_goal_tolerance']",10.949711962799569,33.855308798111174,44.258341770461705
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,43.87164278905039,17.491285879744105
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'yaw_goal_tolerance']",10.949711962799569,25.55696117258531,9.297552714871928
"['Battery_percentage', 'yaw_goal_tolerance']",10.949711962799569,43.14931646451371,8.496674146015279
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,30.230025744690078,4.15847705932884
"['Battery_percentage', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,35.397812699034425,21.94283765120848
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,39.54636826186249,36.8703183737143
"['Battery_percentage', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,26.470314190270415,5.418769478869243
"['Battery_percentage', 'Traveled_distance', 'RNS', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,32.5534964758683,22.37079692529375
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'DWA_failed', 'yaw_goal_tolerance']",10.949711962799569,36.04752484602447,25.84991564524479
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'Path_distance_bias']",5.585639766620503,14.136904330984544,5.947174913298587
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Path_distance_bias']",5.585639766620503,11.393691813670461,2.1104478762779717
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Path_distance_bias']",5.585639766620503,12.800814607384801,1.3809395891953549
"['Battery_percentage', 'Mission_time', 'Path_distance_bias']",5.585639766620503,8.977576683411716,4.546678214140451
"['Battery_percentage', 'Error_rotating_goal', 'Path_distance_bias']",5.585639766620503,8.888253745861205,1.4770153540326574
"['Battery_percentage', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,7.738899112113491,42.41475182369828
"['Battery_percentage', 'RNS', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,14.285908874916506,16.797763287319068
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,3.7525208134959067,24.061618394599925
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,2.5943552140506627,25.996889224834405
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,16.554777033810716,21.092630237948814
"['Battery_percentage', 'xy_goal_tolerance']",5.32597342687788,12.940955559747026,14.14566423293158
"['Battery_percentage', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,8.716121691694878,13.711505542870649
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,0.216525047086948,28.656783612904444
"['Battery_percentage', 'Traveled_distance', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,7.232344212865257,19.39941782628449
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,16.276783607413492,11.278516806214153
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,10.963825062467002,47.01286577809756
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,1.9009202763599504,12.283893906918635
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,13.841115618432667,0.645342107117355
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,1.5739598123095562,19.62910164156097
"['Battery_percentage', 'Traveled_distance', 'RNS', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,11.417645343499766,12.810822896924922
