Rank,Energy (Whr),Traveled_distance,DWA_new_plan,Mission_time,Recovery_executed,Husky
Rank 4,31.272,14.61,91,93.13,2,Simulator
Rank 4,31.344,14.44,5,72.79,0,Simulator
Rank 4,27.144,14.47,7,64.35,0,Simulator
Rank 4,21.624,14.42,5,52.83,0,Simulator
Rank 4,22.848,9.77,240,105.78,6,Simulator
Rank 4,26.808,12.24,85,80.98,2,Simulator
Rank 4,21.624,11.88,83,71.45,2,Simulator
Rank 4,22.848,13.11,93,74.68,2,Simulator
Rank 4,34.008,15,6,124.97,4,Simulator
Rank 4,22.848,6.72,240,129.49,8,Simulator
Rank 4,24.096,14.54,5,57.98,0,Simulator
Rank 4,37.176,13.39,168,120,4,Simulator
Rank 4,22.848,4.83,318,121.74,8,Simulator
Rank 4,36.768,8.21,319,149.54,8,Simulator
Rank 4,46.344,14.7,8,103.73,0,Simulator
Rank 4,35.184,8.08,318,148.15,8,Simulator
Rank 4,26.808,6.99,320,128.22,8,Simulator
Rank 4,21.624,12.44,84,70.61,2,Simulator
Rank 4,41.112,14.45,5,94.85,0,Simulator
Rank 4,33.936,10.51,243,129,6,Simulator
Rank 4,22.848,12.81,85,73.44,2,Simulator
Rank 4,34.224,14.58,33,85.36,0,Simulator
Rank 4,21.624,7.12,240,103.87,6,Simulator
Rank 4,27.744,14.5,8,67.03,0,Simulator
Rank 4,36.312,10.78,248,135.03,6,Simulator
Rank 4,35.184,13.07,86,121.75,4,Simulator
Rank 4,29.208,6.77,85,154.4,8,Simulator
Rank 4,21.624,7.26,241,104.38,6,Simulator
Rank 4,24.432,7.25,140,110.43,6,Simulator
Rank 4,22.848,12.31,84,71.74,2,Simulator
Rank 4,32.016,12.27,83,92.27,2,Simulator
Rank 4,29.208,12.07,87,87.03,2,Simulator
Rank 4,14.472,4.46,218,105.04,8,Simulator
Rank 4,23.496,7.29,100,108.7,6,Simulator
Rank 1,218.448,26.325,249,396.21,11,Physical
Rank 1,177.768,24.375,246,305.48,6,Physical
Rank 1,95.832,24.75,86,227.62,8,Physical
Rank 1,73.008,22.515,170,143.57,4,Physical
Rank 1,72.72,21.915,5,108.38,0,Physical
Rank 1,55.152,6.6,320,175.96,10,Physical
Rank 1,45,7.71,396,151.67,10,Physical
Rank 1,36.648,13.29,162,115.47,6,Physical
Rank 1,34.272,2.46,397,138.18,10,Physical
Rank 1,28.872,1.86,240,144.8,10,Physical
Rank 3,113.796,30.525,253,239.12,8,Physical
Rank 3,79.704,13.785,321,186.9,8,Physical
Rank 3,42.012,21.72,5,66.36,0,Physical
Rank 3,38.556,21.75,5,62.24,0,Physical
Rank 3,30.06,12.24,242,101.92,6,Physical
Rank 3,54.504,19.74,166,117.6,4,Physical
Rank 3,61.776,14.205,162,125.57,4,Physical
Rank 3,65.34,19.155,241,147.42,6,Physical
Rank 3,32.436,18.135,86,71.16,2,Physical
Rank 3,31.248,18.105,84,68.6,2,Physical
Rank 4,34.272,19.26,86,73.62,2,Physical
Rank 4,30.06,14.835,243,103.01,6,Physical
Rank 4,21.708,20.23,318,105.04,8,Physical
Rank 4,35.244,10.935,245,108.7,6,Physical
Rank 4,34.272,19.665,93,74.68,2,Physical
Rank 4,51.012,22.5,6,124.97,4,Physical
Rank 4,66.528,20.115,85,187.33,8,Physical
Rank 4,36.648,17.4,165,91.58,4,Physical
Rank 4,32.436,10.68,240,103.87,6,Physical
Rank 4,41.616,21.75,8,67.03,0,Physical
