Rank 1,Rank 2,Rank 3
0.0054162,0.0310871,0.1342177
0.0383001,0.131663,0.3019899
0.1203716,0.2478363,0.3019899
0.2206813,0.2721339,0.1761608
0.2600886,0.1920945,0.0660603
0.2043554,0.0903974,0.0165151
0.1070433,0.02836,0.0027525
0.0360452,0.0057197,0.0002949
0.0070803,0.0006729,1.84E-05
0.0006181,3.52E-05,5E-07
