Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,Rotate_recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.7,0.77,0.2,0.1,0.2,0,319,320,10,1,0.2,4.4,175.96,84.68,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.42,1,0.2,0.1,0.2,0,7,170,4,160,1,15.01,143.57,79.72,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3,0.98,0.2,0.1,0.2,0,320,320,10,0,0.2,5.57,183.78,82.84,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.17,4.94,0.2,0.1,0.2,0,316,317,8,0,0.4,6.99,155.84,83.84,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.97,2.75,0.2,0.1,0.2,0,159,161,6,0,0.6,9.12,146.92,83.51,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.32,0.8,0.2,0.1,0.2,0,80,163,4,80,0.8,12.65,120.54,84.17,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,4.95,3.78,0.2,0.1,0.2,0,84,85,8,0,0.4,11.82,188.11,80.85,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.84,2.44,0.2,0.1,0.2,0,3,84,6,79,0.6,14.93,193.06,75.21,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,1.34,4.38,0.2,0.1,0.2,0,396,396,10,0,0.2,5.14,151.67,87.5,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.28,4.09,0.2,0.1,0.2,0,316,395,10,79,0.2,4.74,169.5,84.17,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.86,0.71,0.2,0.1,0.2,0,237,238,8,0,0.4,7.68,153.09,84.97,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.66,4.29,0.2,0.1,0.2,0,80,163,4,80,0.8,11.93,157.97,76.53,0
