Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
13,7,4,0.42,1,18,2,7,2,0,1.59,0.7,0.62,0.04,0.25,0.12,0.4,-0.04,1,6,0,0,1,14.39,46.27,91.5,1
14,6,1,0.45,1,8,3,7,3,0,1.08,0.81,0.85,0.04,0.29,0.17,0.3,-0.15,4,8,2,0,0.8,44.13,546.87,8.95,0
6,7,4,1.86,0,4,6,6,2,0,0.7,0.45,1.16,0.04,0.15,0.17,0.39,-0.17,164,167,4,0,0.6,14.29,112.49,83.84,0
12,4,4,1.91,0,6,3,7,1,1,0.57,0.2,1.06,0.05,0.13,0.2,0.28,-0.05,159,162,4,0,0.6,10.31,97.77,86.99,0
15,7,4,0.28,1,11,8,7,1,1,0.68,0.67,0.7,0.02,0.23,0.14,0.18,-0.01,161,164,4,0,0.6,10.63,83.35,90.48,0
3,5,3,0.21,1,18,8,4,4,1,0.43,0.1,1.49,0.02,0.2,0.3,0.3,-0.21,0,5,0,0,1,14.34,49.49,90.88,1
15,4,1,1.33,1,3,2,6,2,0,1.59,0.63,1.01,0.01,0.14,0.14,0.13,-0.06,2,7,0,0,1,14.5,51.12,90.99,1
9,5,3,1.47,0,12,6,6,2,1,1.97,0.98,0.97,0.04,0.11,0.14,0.32,-0.26,4,9,0,0,1,14.45,62.44,87.96,1
14,5,4,1.09,1,10,6,4,3,1,0.59,0.85,1.03,0.03,0.15,0.21,0.18,0,0,5,0,0,1,14.45,45.6,91.68,1
19,5,1,1.77,1,1,3,7,1,1,1.96,0.95,0.99,0.02,0.26,0.16,0.4,-0.11,82,86,2,0,0.8,12.68,61.04,91.65,0
12,5,2,1.7,1,2,3,5,3,1,1.14,0.75,0.98,0.04,0.19,0.12,0.16,-0.15,5,6,8,0,0.2,58.4,578.57,8.95,0
6,6,3,0.39,1,6,9,5,2,1,0.4,0.14,1.25,0.02,0.27,0.26,0.13,-0.28,4,9,0,0,1,15.88,65.26,87.98,1
