Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,1.38,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,159,162,0,4,4,0,0,0,4.91414384674928E-05,2.45707192337464E-05,1.48385920751615E-05,0.168138377666542,0.6,9.47,0,125.57,82.84,0
10,4,3,4.21,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,90,250,158,6,8,0,158,158,6.39588455526639E-05,3.1979422776332E-05,1.89760576533848E-05,0.16173110905491,0.8,12.8,0,143.92,84.84,0
10,4,3,2.85,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,81,0,8,8,0,0,0,4.8099241055345E-05,2.40496205276725E-05,1.43668566417021E-05,0.168368474208287,0.4,6.73,0,146.04,89.16,0
10,4,3,2.38,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,2,83,79,6,6,0,79,79,5.58251361873707E-05,2.79125680936854E-05,1.74558817990807E-05,0.165639012642185,0.6,14.56,0,185.86,76.59,0
10,4,3,3.27,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,237,239,0,6,6,0,0,0,5.67217810506171E-05,2.83608905253086E-05,1.71109156054796E-05,0.174503390878869,0.4,7.18,0,112.92,88.83,0
10,4,3,4.89,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,2.77367659857903E-05,1.38683829928951E-05,8.7293892505549E-06,0.170654420181161,1,14.43,0,67.09,88.17,1
10,4,3,1.67,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,5.66412701715698E-05,2.83206350857849E-05,1.95046921804394E-05,0.165167417003746,1,14.39,0,104.06,83.87,0
10,4,3,3.76,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,3.53323379851394E-05,1.76661689925697E-05,1.09733489166226E-05,0.168022545692837,0.8,12.55,0,97.88,86.12,0
10,4,3,3.92,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,86,88,1,8,8,0,1,1,5.23581059963259E-05,2.61790529981629E-05,1.61984318138029E-05,0.169664369919818,0.4,6.73,0,144.77,89.82,0
10,4,3,1.86,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,239,241,0,6,6,0,0,0,7.33313832300967E-05,3.66656916150484E-05,2.40992471669026E-05,0.166906237709405,0.6,9.84,0,130.36,86.66,0
10,4,3,2.44,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,2.82435160674251E-05,1.41217580337126E-05,8.70948425537991E-06,0.171043522355071,1,14.49,0,67.49,88.23,1
10,4,3,4.15,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,2.17348349321268E-05,1.08674174660634E-05,8.18162209415762E-06,0.170135560069383,1,14.52,0,63.74,85.14,1
