Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.14,0.2,0.1,0.42,0,81,83,0,6,6,0,0,0,6.27919964250012E-05,3.13959982125006E-05,1.9663443067432E-05,0.372821900971548,0.6,9.22,0,120.89,89.82,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.38,0.2,0.1,0.7,0,240,400,160,10,10,0,160,160,1.04342399042924E-05,5.21711995214621E-06,3.89245696866291E-06,0.579871546537196,0.4,7.12,0,188.62,80.02,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.19,0.2,0.1,0.16,0,245,247,0,6,6,0,0,0,1.02278537954747E-05,5.11392689773734E-06,3.37410601449093E-06,0.149202806803351,0.6,9.52,0,121.74,87.32,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.61,0.2,0.1,0.62,0,6,9,0,4,4,0,0,0,7.16662112809689E-06,3.58331056404844E-06,2.81410508362854E-06,2.55529592043142,0.6,14.26,0,228.74,61.18,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.18,0.2,0.1,0.47,0,1,9,3,0,0,0,3,3,1.7644572742841E-05,8.82228637142052E-06,5.56504216713583E-06,0.368781302909985,1,16.69,0,124.73,76.59,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.57,0.2,0.1,0.65,0,0,84,80,2,2,0,80,80,7.87828187764926E-05,3.93914093882463E-05,2.99251872958963E-05,0.595925631764376,1,14.17,0,87.24,87.46,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.13,0.2,0.1,0.5,0,80,84,0,2,2,0,0,0,6.89092264304018E-05,3.44546132152009E-05,2.04865376278791E-05,0.471889137592813,0.8,11.49,0,83.58,88,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.42,0.2,0.1,0.36,0,0,3,0,4,4,0,0,0,1.97484235769029E-05,9.87421178845143E-06,7.51643350340443E-06,0.337221029833249,0.6,9.12,0,118.48,86.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.19,0.2,0.1,0.6,0,0,5,0,0,0,0,0,0,7.69300806985745E-05,3.84650403492873E-05,2.31338491174787E-05,0.576337725934052,1,14.08,0,51.87,91.35,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.3,0.2,0.1,0.23,0,317,397,80,10,10,0,80,80,1.25193977544393E-05,6.25969887721967E-06,4.72220795511459E-06,0.164245467290128,0.2,8.99,0,233.47,71.54,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.68,0.2,0.1,0.57,0,134,137,0,4,6,0,0,0,6.25207028127293E-05,3.12603514063646E-05,1.88631850990725E-05,0.53155169897914,0.6,11.12,0,172.82,74.7,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.11,0.2,0.1,0.32,0,83,87,0,2,2,0,0,0,5.63225793622487E-05,2.81612896811244E-05,1.7185237370309E-05,0.279467342221009,0.8,12.59,0,77.29,89.82,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.33,0.2,0.1,0.42,0,81,167,83,4,4,0,83,83,2.13978803001049E-05,1.06989401500524E-05,7.34766081051367E-06,0.40131555560263,0.8,11.8,0,128.23,82.84,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.23,0.2,0.1,0.7,0,13,16,0,8,8,0,0,0,2.35471953413101E-05,1.17735976706551E-05,9.73288537736189E-06,0.648418582980207,0.4,15.52,0,241.29,69.45,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.22,0.2,0.1,0.6,0,89,93,0,2,2,0,0,0,4.57870763679489E-05,2.28935381839745E-05,1.40069924488086E-05,0.539996288771068,0.8,12.45,0,75.67,90.48,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.17,0.2,0.1,0.17,0,169,330,160,8,8,0,160,160,6.21234137498498E-06,3.10617068749249E-06,2.32992745993068E-06,0.129824169992016,0.6,9.69,0,157.93,83.84,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.25,0.2,0.1,0.17,0,2,85,80,4,4,0,80,80,1.56342639628483E-05,7.81713198142414E-06,6.06428282682673E-06,0.162219723581964,0.8,14.91,0,207.33,67.85,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.55,0.2,0.1,0.68,0,3,87,80,2,2,0,80,80,4.16974097733392E-05,2.08487048866696E-05,1.38134725245752E-05,0.653244790233328,0.8,16.41,0,144.23,75.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.62,0.2,0.1,0.63,0,2,6,0,2,2,0,0,0,4.41754434635943E-05,2.20877217317971E-05,1.41070365687104E-05,0.567422261933554,0.8,15.77,0,171.26,71.54,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.27,0.2,0.1,0.48,0,1,6,0,0,0,0,0,0,3.80411109195618E-05,1.90205554597809E-05,1.39079548024062E-05,0.417572518388764,1,14.54,0,180.25,65.77,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.53,0.2,0.1,0.7,0,81,85,0,2,2,0,0,0,5.6656573701277E-05,2.83282868506385E-05,2.35007073230207E-05,0.697495027019116,0.2,12.03,0,117.29,81.52,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.23,0.2,0.1,0.15,0,165,165,0,12,13,0,0,0,9.74628051443173E-06,4.87314025721586E-06,4.01606884982316E-06,1.17065789230803,0,17.1,0,401.44,40.65,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.34,0.2,0.1,0.2,0,238,240,0,6,6,0,0,0,3.62375340659945E-05,1.81187670329972E-05,1.077476344314E-05,0.149881051288511,0.6,9.34,0,112.28,89.16,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.49,0.2,0.1,0.54,0,242,242,0,11,11,0,0,0,8.56096751824035E-06,4.28048375912017E-06,3.49452647546117E-06,1.21474814047802,0,6.39,0,219.76,74.7,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.43,0.2,0.1,0.56,0,2,81,76,5,5,0,76,76,1.76452907026646E-05,8.82264535133232E-06,7.13617615981367E-06,0.522378355659397,0.6,14.85,0,191.81,73.91,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.42,0.2,0.1,0.61,0,0,5,0,0,0,0,0,0,8.44096545630497E-05,4.22048272815249E-05,2.6028389244079E-05,0.566288504382819,0.8,14.08,0,75.75,86.52,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.23,0.2,0.1,0.17,0,81,162,80,8,8,0,80,80,1.84826966830112E-05,9.24134834150558E-06,6.69086117374919E-06,0.12568862976202,0.4,6.78,0,162.24,85.34,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.39,0.2,0.1,0.22,0,163,164,0,9,9,0,0,0,1.17749613894169E-05,5.88748069470844E-06,4.86352004547827E-06,1.01470581633815,0.4,14.59,0,272.58,65.9,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.69,0.2,0.1,0.29,0,81,85,0,2,2,0,0,0,4.89244871814216E-05,2.44622435907108E-05,2.03703128831075E-05,0.245307123663381,0.8,11.84,0,78.24,89.49,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.29,0.2,0.1,0.38,0,84,87,2,9,10,0,2,2,1.34258533076717E-05,6.71292665383583E-06,4.37928601369068E-06,0.339842279407964,0.4,6.71,0,190.48,83.51,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.67,0.2,0.1,0.27,0,160,161,0,8,8,0,0,0,4.7780878040187E-05,2.38904390200935E-05,1.64089484748795E-05,0.254075813171524,0.4,6.49,0,136.54,89.82,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.47,0.2,0.1,0.39,0,79,84,2,4,4,0,2,2,6.10846113799466E-05,3.05423056899733E-05,2.0323404918205E-05,0.349880503310041,0.8,11.6,0,98.77,89.82,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.28,0.2,0.1,0.54,0,240,242,0,6,6,0,0,0,7.85684060739847E-05,3.92842030369923E-05,2.45851771162283E-05,0.526934441263873,0.4,7.61,0,159.74,79.85,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.18,0.2,0.1,0.53,0,84,88,0,2,2,0,0,0,7.77142344067539E-05,3.88571172033769E-05,2.92002521927838E-05,0.502904499518856,0.8,12.54,0,102.42,84.68,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.55,0,81,85,0,2,2,0,0,0,7.1333707479942E-05,3.5666853739971E-05,2.13049026343611E-05,0.519368074900224,0.8,11.84,0,73.78,90.48,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.18,0.2,0.1,0.27,0,80,84,0,2,2,0,0,0,1.29383290613909E-05,6.46916453069545E-06,4.19332032470865E-06,0.24936306337501,0.8,11.92,0,85.87,88.12,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.14,0.2,0.1,0.18,0,320,321,0,8,8,0,0,0,4.47823580281174E-05,2.23911790140587E-05,1.43273178698744E-05,0.17405619618454,0.2,4.41,0,106.5,93.64,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.17,0.2,0.1,0.62,0,7,91,80,2,2,0,80,80,5.79025096564356E-05,2.89512548282178E-05,1.74972177442753E-05,0.577118398499494,1,14.22,0,100.91,84.97,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.61,0.2,0.1,0.4,0,81,166,82,4,4,0,82,82,4.76968982457548E-05,2.38484491228774E-05,1.78934108464612E-05,0.344549526070296,0.8,11.62,0,131.42,81.85,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.24,0.2,0.1,0.19,0,1,6,0,0,0,0,0,0,1.12132051270839E-05,5.60660256354196E-06,4.4156237876746E-06,0.164736280833598,1,18.89,0,655.23,8.96,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.57,0.2,0.1,0.44,0,83,86,0,4,4,0,0,0,1.97710541781531E-05,9.88552708907653E-06,8.19517083205351E-06,0.422201514283371,0.8,11.41,0,110.56,87.32,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.11,0.2,0.1,0.57,0,81,85,0,2,2,0,0,0,8.25959298107969E-05,4.12979649053985E-05,2.53658042478608E-05,0.51758265468421,0.8,11.85,0,75.89,89.82,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.11,0.2,0.1,0.31,0,87,90,0,4,4,0,0,0,6.13415898066554E-05,3.06707949033277E-05,1.89851643760434E-05,0.267204791484458,0.6,9.39,0,116.5,86.66,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.15,0.2,0.1,0.32,0,1,6,2,4,4,0,2,2,1.27443852110153E-05,6.37219260550765E-06,4.00497668174376E-06,0.283225679815853,0.6,14.35,0,152.92,79.82,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.7,0.2,0.1,0.32,0,80,163,80,4,4,0,80,80,1.09122555132392E-05,5.45612775661962E-06,3.73368360486562E-06,0.273475852505383,0.8,12.21,0,139.68,80.35,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.18,0.2,0.1,0.24,0,0,5,0,0,0,0,0,0,5.59146040410247E-05,2.79573020205123E-05,1.70806264923759E-05,0.188528640920781,1,14.41,0,83.48,84.71,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.27,0.2,0.1,0.4,0,0,5,0,0,0,0,0,0,2.09590197797462E-05,1.04795098898731E-05,8.21342888468465E-06,0.349461264736949,1,14.31,0,91.2,83.62,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.33,0.2,0.1,0.47,0,80,163,80,4,4,0,80,80,5.06000277278124E-05,2.53000138639062E-05,1.60973396210721E-05,0.451684294457984,0.8,12.8,0,123.8,83.51,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.44,0.2,0.1,0.28,0,84,167,80,4,4,0,80,80,1.21276049183844E-05,6.06380245919222E-06,4.83449858114986E-06,0.253855120638779,0.8,13.51,0,141.64,79.85,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.23,0.2,0.1,0.32,0,83,162,78,8,8,0,78,78,2.58733070223864E-05,1.29366535111932E-05,1.06184335194718E-05,0.272425298468024,0.4,11.52,0,163.8,84.68,0
